
CAPITOLO 1 — SEZIONE F
CENSIMENTO CAPILLARE PROVINCIA PER PROVINCIA
Forza Italia / PDL / ALA / NCD / Noi Moderati / CCD / UDC / Nuovo PSI / Nuova DC
Politici coinvolti in procedimenti penali 1994–2026
Compilazione: Luigi De Michele — Aprile 2026

NOTA METODOLOGICA
La presente Sezione F completa il Capitolo 1 del censimento con i risultati della ricerca capillare condotta provincia per provincia su tutto il territorio nazionale. Questa sezione integra le Sezioni A-E (135 schede complessive già compilate) con i profili aggiuntivi emersi dalla ricerca sistematica svolta regione per regione, per un totale stimato di ulteriori 80-100 schede. Ciascun profilo è attribuito al partito di appartenenza al momento del fatto contestato. Le regioni sono elencate in ordine geografico dal Sud al Nord. Per le regioni in cui non sono emersi nomi capillari FI/PDL (Marche, Friuli Venezia Giulia, Trentino-Alto Adige, Valle d’Aosta) è riportata la dicitura “Deserto FI/PDL”.

SICILIA (9 province)
La Sicilia è la regione italiana con la più alta concentrazione di politici FI/PDL coinvolti in procedimenti penali per reati di mafia e corruzione. L’isola registra casi in tutte e nove le province, con una particolare densità a Palermo, Catania e nell’Agrigentino.

CALABRIA (5 province)
La Calabria registra un caso di eccezionale gravità istituzionale: il presidente in carica della Regione, Roberto Occhiuto (FI), indagato per corruzione nel giugno 2025. La provincia di Crotone è stata aggiornata con il caso Manica (operazione “Teorema”, marzo/aprile 2026).

CAMPANIA (5 province)

PUGLIA (6 province) — AGGIORNAMENTO COMPLETO
Provincia di Bari — Operazione Codice Interno (DDA Bari, feb. 2024)
Provincia di Lecce
Provincia di Taranto
Provincia di Foggia
Provincia BAT

BASILICATA (2 province)
L’operazione della DDA di Potenza sulla sanità lucana (ottobre 2022, oltre 100 indagati) ha colpito l’intera classe dirigente di Forza Italia in Basilicata.

LAZIO (5 province)

LOMBARDIA (12 province) — Operazione Mensa dei Poveri
L’operazione “Mensa dei Poveri” (DDA Milano, maggio 2019, 43 misure cautelari, 95 indagati) ha devastato Forza Italia in Lombardia, svelando un sistema feudale di corruzione e nomine pilotate nelle province di Milano e Varese con connessioni alla ‘ndrangheta (famiglia Molluso di Buccinasco).

VENETO (7 province) — Scandalo MOSE

LIGURIA (4 province) — Inchiesta Toti

PIEMONTE (8 province)
Il Piemonte registra un unico caso capillare rilevante per l’area FI/PDL: Roberto Rosso, la cui parabola processuale si è conclusa con l’annullamento con rinvio da parte della Cassazione nel febbraio 2025. Le province di Alessandria, Asti, Cuneo, Vercelli, Biella e VCO non hanno prodotto nomi FI/PDL specifici.

EMILIA-ROMAGNA (9 province) — Operazione Aemilia
Nel più grande processo di ‘ndrangheta al Nord (240 imputati, oltre 1.700 anni richiesti), i due politici dell’area centrodestra coinvolti sono stati entrambi non condannati: Pagliani assolto con formula piena definitiva, Bernini prescritto. Le restanti province emiliano-romagnole non hanno prodotto nomi capillari FI/PDL.

ABRUZZO (4 province)
Nell’inchiesta “Re Mida” (Procura di Pescara, 2010) erano stati coinvolti anche i senatori PDL Fabrizio Di Stefano e Paolo Tancredi, l’assessore regionale Sanità PDL Lanfranco Venturoni (arrestato), l’assessore Ambiente PDL Daniela Stati e il sindaco di Teramo PDL Maurizio Brucchi, ma tutti furono assolti nel 2018.
MOLISE (2 province)

REGIONI SENZA NOMI CAPILLARI FI/PDL
Le seguenti regioni non hanno prodotto nomi capillari FI/PDL specifici dalla ricerca provincia per provincia, pur essendo state coperte integralmente: Marche (5 province), Friuli Venezia Giulia (4 province), Trentino-Alto Adige (2 province), Valle d’Aosta (1 provincia). Per Toscana, Sardegna e Umbria la ricerca capillare non è stata ancora completata e rimane tra i pending items per la prossima sessione.

RIEPILOGO QUANTITATIVO SEZIONE F
Sicilia: 10 profili aggiuntivi. Calabria: 10 profili aggiuntivi. Campania: 9 profili aggiuntivi. Puglia: 20 profili aggiuntivi (6 province). Basilicata: 5 profili aggiuntivi. Lazio: 4 profili aggiuntivi. Lombardia: 12 profili aggiuntivi (Mensa dei Poveri). Veneto: 3 profili aggiuntivi. Liguria: 6 profili aggiuntivi (inchiesta Toti). Piemonte: 2 profili aggiuntivi. Emilia-Romagna: 2 profili (entrambi non condannati). Abruzzo: 1 profilo aggiuntivo. Molise: 1 profilo aggiuntivo.
Totale Sezione F: circa 85 profili aggiuntivi. Totale complessivo Capitolo 1 (Sezioni A-F): circa 220 schede.
Regioni ancora da completare: Toscana, Sardegna, Umbria, Trentino-Alto Adige, Valle d’Aosta.
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Monosi Attilio | Lecce | Centrodestra, ex assessore | Falso (inchiesta Case e Voti, set 2018) | Arrestato GdF | Cond. 3a 6m (mag 2025) | —
Pasqualini Luca | Lecce | Centrodestra, ex assessore | Falso, corruzione (Case e Voti) | Arrestato GdF | Cond. 5a (mag 2025) | —
Piccione Cosimo | Sannicola (LE) | Centrodestra, ex sindaco | Corruzione, turbativa d’asta (lug 2025) | Carcere | In corso | —
Crastolla Danilo | Brindisi/Lecce | FI, ex cons. regionale | VITTIMA usura SCU (op. Fenus Unciarum) | Vittima | Appello feb 2026 (PG chiede assol.) | SCU
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Tamburrano Martino | Taranto | FI, ex pres. Provincia | Corruzione (discarica Grottaglie), tangente 5.000€/mese + Mercedes | Condannato | Cond. 9a 6m primo grado | —
Rossano Massimiliano | Manduria (TA) | Centrodestra, ex assessore | Corruzione, scambio mafioso SCU | Carcere | In corso | SCU
Dimonopoli Nicola | Manduria (TA) | Centrodestra, ex pres. consiglio | Scambio mafioso SCU | Domiciliari | In corso | SCU
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Landella Franco | Foggia | FI/Lega, sindaco | Corruzione + tentata concussione (mag 2021), Comune sciolto mafia | Arrestato | In corso | Mafia foggiana
Iaccarino Leonardo | Foggia | Centrodestra, pres. consiglio | Corruzione + peculato | Carcere | In corso | —
Capotosto Antonio | Foggia | UDC, consigliere | Corruzione (arrestato due volte) | Carcere | In corso | —
Iacovangelo Dario | Foggia | Centrodestra, consigliere | Corruzione | Arrestato | In corso | —
Longo Bruno | Foggia | Centrodestra, consigliere | Corruzione (tangente 35.000€) | Arrestato | In corso | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Riserbato Luigi | Trani (BAT) | Centrodestra/area Fitto, sindaco | Arrestato dic 2014 | Carcere | ASSOLTO (errore giudiziario) | —
Di Marzio Giuseppe | Trani (BAT) | FI, vicesindaco | Corruzione | Carcere | In corso | —
Musci Maurizio | Trani (BAT) | FI, consigliere | Corruzione | Carcere | In corso | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Bardi Vito | Potenza | FI, pres. Regione | Traffico influenze, concussione, peculato (DDA PZ ott 2022) | Indagato | In corso | —
Piro Francesco | Potenza | FI, capogruppo cons. reg. | Corruzione, rapporti clan calabresi | Carcere | In corso | 'Ndrangheta
Cupparo Francesco | Potenza | FI, assessore reg. | Corruzione | Obbligo dimora | In corso | —
Di Lascio Maria | Lagonegro (PZ) | FI, sindaca | Corruzione + sabotaggio ponti radio | Domiciliari | In corso | —
Leone Rocco Luigi | Potenza | FI (poi FdI), ex assessore | Corruzione | Obbligo dimora | In corso | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Gramazio Luca | Roma | FI, cons. regionale Lazio | Mafia Capitale (arrestato giu 2015) | Arrestato | In corso | Carminati/Buzzi
Tredicine Giordano | Roma | FI, cons. com./vice coord. | Mafia Capitale | Coinvolto | In corso | Carminati/Buzzi
Forzan Emanuele | Latina | Collab. cons. reg. FI Tripodi | Voto scambio mafioso clan Di Silvio (arr. lug 2021) | Arrestato | Prescritto gen 2026 | Di Silvio
Principi Lanfranco | Aprilia (LT) | Centrodestra, ex sindaco | Infiltrazioni mafiose (giud. immed. feb 2025) | RaG | In corso | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Caianiello Gioacchino | Varese (Gallarate) | FI, ex coord. provinciale | Assoc. delinquere, corruzione, fin. illecito + già condannato 3a concussione | Patteggiato 4a 10m | Definitivo | Molluso ('ndrangheta)
Tatarella Pietro | Milano | FI, cons. com./vice coord. reg. | Corruzione, fin. illecito (Mensa dei Poveri) | Carcere (2019) | Assolto I grado (2023) | —
Altitonante Fabio | Milano | FI, sottoseg. Expo Regione | Corruzione (Mensa dei Poveri) | Arrestato (2019) | Assolto I grado (2023) | —
Comi Lara | Varese | FI, eurodeputata | Corruzione + truffa UE 500.000€ | RaG | Condannata I grado (2023) | —
Bilardo Alberto | Gallarate (VA) | FI, segretario cittadino | Corruzione (Mensa dei Poveri) | Patteggiato 3a 6m | Definitivo | —
Sozzani Diego | Novara | FI, deputato | Finanziamento illecito (Mensa dei Poveri) | RaG | Processo in corso | —
Palumbo Angelo | Milano | FI, ex cons. regionale | Corruzione (Mensa dei Poveri) | Condannato | I grado | —
Saporiti Paola | Cassano M. (VA) | FI, assessore | Corruzione (filmata con mazzetta 500€) | Condannata | I grado | —
Petrone Alessandro | Gallarate (VA) | FI, ex assessore | Corruzione (Mensa dei Poveri) | Patteggiato | Definitivo | —
Carù Moreno | Gallarate (VA) | FI, ex vicesindaco | Corruzione | Processo | In corso | —
Gorrasi Carmine | Busto Arsizio (VA) | FI, coord. cittadino | Corruzione (Mensa dei Poveri) | Coinvolto | In corso | —
Frascella Antonio | Cassano M. (VA) | FI, esponente | Corruzione (Mensa dei Poveri) | Coinvolto | In corso | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Sartori Amalia (Lia) | Venezia | PDL/FI, eurodeputata | Finanziamento illecito MOSE (25.000€ COVECO) | Arrestata | Assolta | CVN/Mazzacurati
Venuti Paolo | Padova | Commercialista (gestiva patrimonio Galan) | Riciclaggio, intestazione fittizia | Arrestato | Condannato | CVN/Mazzacurati
Claudio Luca | Padova (Montegrotto) | Centrodestra, ex sindaco | Corruzione, concussione, turbativa d’asta | Patteggiato 4a | Definitivo | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Cozzani Matteo | Genova | Capo gab. Toti | Corruzione elett. aggravata mafia | Domiciliari | In corso | Cosa Nostra (Cammarata Riesi)
Anzalone Stefano | Genova | Lista Toti, cons. reg. | Corruzione elettorale | Indagato | In corso | —
Signorini Paolo Emilio | Genova | Pres. Autorità Portuale | Corruzione | Carcere | In corso | Spinelli
Rossi Maurizio | Genova | Editore Primocanale | Finanziamento illecito | Indagato | In corso | —
Testa Arturo Angelo | Genova | Rapp. comunità riesina | Corruzione elett. aggravata mafia | Obbligo dimora | In corso | Cosa Nostra (Cammarata)
Testa Italo Maurizio | Genova | Rapp. comunità riesina | Corruzione elett. aggravata mafia | Obbligo dimora | In corso | Cosa Nostra (Cammarata)
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Rosso Roberto | Torino/Carmagnola | FI (poi FdI), ex sottoseg. | Voto scambio politico-mafioso (op. Carminius-Fenice, dic 2019) | Cond. 5a I gr., 4a4m App. | Cass. annullamento rinvio feb 2025 | 'Ndrangheta Carmagnola
Martinat Oreste | Torino | PDL, ex assessore reg. | Truffa alluvione | Arrestato | In corso | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Pagliani Giuseppe | Reggio Emilia | FI, capogruppo cons. com. | Concorso esterno 416bis (op. Aemilia, gen 2015) | Carcere 23gg | ASSOLTO DEF. Cass. 8/6/2022 | Grande Aracri (Cutro)
Bernini Giovanni Paolo | Parma | PDL, ex assessore | Corruzione elettorale (Aemilia) | — | Prescritto tutti i gradi | Grande Aracri
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Piccone Filippo | L’Aquila (Celano) | FI/PDL/NCD, ex senatore | Induzione indebita, corruzione, turbativa, concussione sessuale (op. Acqua Fresca feb 2021) | Carcere | In corso | —
NOME | LUOGO/PROV. | PARTITO/RUOLO | ACCUSE/OPERAZIONE | MISURA/PENA | ESITO | CLAN/ENTITÀ
Roberti Francesco | Campobasso (Termoli) | FI, pres. Regione | Corruzione (DDA Campobasso feb 2025), 47 indagati, traffico rifiuti | Avviso concl. indagini | In corso | Energia Pulita srl
